Name,Creation date,Link,Tags
Yaku: the Rose,20/06/2020,https://blacklist-gang.itch.io/yaku-the-rose,"2D, School Project, Unity"
"Hold me, Lulu",16/06/2021,https://blacklist-gang.itch.io/hold-me-lulu,"3D, School Project, Unity"
